number_of_trees,leafs,number_of_splits,number_of_predictors,accuracy,ce,time
20,3,100,2,0.956616052060739,-0.12822879903154,0.140625
50,3,200,2,0.961677512653652,-0.129753613176382,0.359375
10,3,100,2,0.930585683297182,-0.129772902957779,0.078125
50,3,100,2,0.958785249457702,-0.130824159592726,0.25
40,3,200,2,0.957339117859726,-0.131813197282215,0.234375
40,3,100,2,0.960231381055677,-0.131961428032123,0.3125
10,4,100,2,0.929862617498194,-0.13506211879333,0.203125
10,3,200,2,0.933477946493132,-0.136627876564812,0.328125
50,4,100,2,0.958062183658714,-0.137116242172847,0.375
10,4,200,2,0.938539407086046,-0.137736352310347,0.09375
20,3,200,2,0.947939262472886,-0.137883223771606,0.171875
40,4,100,2,0.9530007230658,-0.140532817690611,0.1875
20,4,100,2,0.950831525668837,-0.14062257084797,0.34375
20,4,200,2,0.949385394070862,-0.141288057934024,0.265625
50,4,200,2,0.958062183658714,-0.141591352319157,0.171875
40,4,200,2,0.954446854663775,-0.142478496450388,0.375
50,5,200,2,0.952277657266812,-0.146081526533453,0.1875
40,5,100,2,0.960954446854665,-0.148041968243601,0.203125
20,5,200,2,0.955169920462763,-0.148304863111589,0.328125
10,2,50,2,0.927693420101231,-0.15058898583363,0.09375
10,5,100,2,0.929862617498194,-0.150948996269067,0.046875
40,2,50,2,0.958785249457702,-0.153454729765447,0.234375
50,5,100,2,0.953723788864788,-0.154968454334891,0.3125
50,4,50,2,0.9530007230658,-0.157186530255168,0.3125
50,5,50,2,0.951554591467825,-0.157274921986976,0.25
20,4,50,2,0.940708604483009,-0.157515165754581,0.234375
20,5,100,2,0.940708604483009,-0.162176566200054,0.3125
10,5,200,2,0.920462762111354,-0.163688352970304,0.0625
40,3,50,2,0.949385394070862,-0.16544233417793,0.140625
40,4,50,2,0.950108459869849,-0.166245989198658,0.140625
50,3,50,2,0.9530007230658,-0.166684033375009,0.203125
40,5,200,2,0.9530007230658,-0.167008130591136,0.28125
10,5,50,2,0.923355025307305,-0.169711744872466,0.140625
20,3,50,2,0.948662328271874,-0.170071618002548,0.265625
40,5,50,2,0.956616052060739,-0.170333721924538,0.265625
50,2,50,2,0.955892986261751,-0.170749106563965,0.265625
10,3,50,2,0.92480115690528,-0.171890987316407,0.203125
20,5,50,2,0.946493130874911,-0.172101591624509,0.171875
10,4,50,2,0.924078091106292,-0.177047308919414,0.15625
20,2,50,2,0.944323933477948,-0.182435802483216,0.109375
